지점,일시,강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
108,2018-01-01 1:00,,0.7,360,41,1015.1,-2.7
108,2018-01-01 2:00,,0.9,270,42,1015.2,-3
108,2018-01-01 3:00,,1,290,44,1015.5,-3.5
108,2018-01-01 4:00,,1.1,290,53,1015.5,-3.8
108,2018-01-01 5:00,,0.8,290,54,1015.7,-4.2
108,2018-01-01 6:00,,1.1,320,51,1015.8,-4.4
108,2018-01-01 7:00,,1.1,290,56,1016.1,-4.7
108,2018-01-01 8:00,,1,290,55,1016.5,-4.9
108,2018-01-01 9:00,,0.7,290,39,1017,-3.6
108,2018-01-01 10:00,,0.8,270,32,1017.7,-0.8
108,2018-01-01 11:00,,2.2,320,27,1018.1,0
108,2018-01-01 12:00,,2.8,290,20,1017.6,0.3
108,2018-01-01 13:00,,2.3,290,22,1016.7,1.2
108,2018-01-01 14:00,,2.1,230,24,1016.4,1.4
108,2018-01-01 15:00,,2.9,320,27,1016.1,1.4
108,2018-01-01 16:00,,2.5,230,28,1016.5,0
108,2018-01-01 17:00,,3.3,270,33,1016.6,0
108,2018-01-01 18:00,,1.9,270,34,1017.1,-0.4
108,2018-01-01 19:00,,1.3,290,39,1017.3,-0.7
108,2018-01-01 20:00,,1.2,320,40,1017.4,-0.8
108,2018-01-01 21:00,,1.2,320,44,1017.5,-1.2
108,2018-01-01 22:00,,0.8,320,48,1017.6,-1.8
108,2018-01-01 23:00,,0.7,320,51,1017.6,-2.3
108,2018-01-02 0:00,,1.1,290,54,1017.8,-2.6
108,2018-01-02 1:00,,0.8,290,56,1017.7,-3
108,2018-01-02 2:00,,0.9,20,62,1017.7,-3.3
108,2018-01-02 3:00,,0.4,0,62,1017.9,-3.7
108,2018-01-02 4:00,,0.5,20,67,1017.5,-3.9
108,2018-01-02 5:00,,0.6,20,67,1017.4,-4.1
108,2018-01-02 6:00,,0.4,0,67,1017.8,-4.3
108,2018-01-02 7:00,,0.5,20,69,1018.1,-4.3
108,2018-01-02 8:00,,0.8,360,71,1018.2,-4.4
108,2018-01-02 9:00,,0.2,0,66,1018.5,-3.1
108,2018-01-02 10:00,,1.9,290,50,1018.9,-0.9
108,2018-01-02 11:00,,2.3,290,40,1019.1,-0.1
108,2018-01-02 12:00,,1.9,270,29,1018.5,0.1
108,2018-01-02 13:00,,3.6,290,23,1017.7,0.9
108,2018-01-02 14:00,,4.4,290,20,1017.4,1
108,2018-01-02 15:00,,3,290,22,1017,0.6
108,2018-01-02 16:00,,2.9,290,23,1017.2,0
108,2018-01-02 17:00,,2.6,270,27,1017.5,-0.2
108,2018-01-02 18:00,,2.3,270,24,1018.5,-0.9
