Measurement date,SO2,NO2,O3,CO,PM10,PM2.5,precipitation,wind_speed,wind_direction,humidity,local pressure,ground_temperature
1483228800000000000,0.004,0.045,0.003,0.8,BAD,63.0,0.0,1.4,20.0,78.0,1018.9,-0.9
1483232400000000000,0.004,0.045,0.003,0.9,BAD,62.0,0.0,1.4,20.0,78.0,1018.9,-0.9
1483236000000000000,0.004,0.043,0.003,0.9,BAD,62.0,0.0,1.9,50.0,81.0,1018.5,-1.8
1483239600000000000,0.004,0.039,0.003,0.7,BAD,63.0,0.0,2.0,50.0,84.0,1018.8,-2.1
1483243200000000000,0.004,0.038,0.003,0.8,BAD,59.0,0.0,1.6,20.0,85.0,1018.6,-2.4
1483246800000000000,0.004,0.037,0.003,0.8,VERY BAD,62.0,0.0,1.4,50.0,86.0,1018.3,-2.6
1483250400000000000,0.004,0.038,0.003,0.8,BAD,63.0,0.0,1.6,20.0,87.0,1018.1,-2.7
1483254000000000000,0.004,0.036,0.003,0.8,BAD,63.0,0.0,1.4,20.0,87.0,1018.6,-2.2
1483257600000000000,0.004,0.038,0.004,0.8,BAD,63.0,0.0,1.4,20.0,87.0,1019.0,-1.8
1483261200000000000,0.004,0.038,0.004,0.9,BAD,66.0,0.0,1.6,20.0,83.0,1019.4,-0.2
1483264800000000000,0.004,0.037,0.006,0.8,BAD,68.0,0.0,2.1,50.0,77.0,1020.1,0.6
1483268400000000000,0.005,0.041,0.0069999999999999,0.9,BAD,71.0,0.0,1.9,50.0,71.0,1019.9,2.9
1483272000000000000,0.005,0.044,0.009,0.8,BAD,73.0,0.0,1.3,50.0,69.0,1018.7,3.6
1483275600000000000,0.005,0.046,0.01,0.8,NORMAL,76.0,0.0,1.4,20.0,65.0,1017.9,5.1
1483279200000000000,0.005,0.048,0.011,0.8,NORMAL,79.0,0.0,0.7,340.0,61.0,1017.1,7.2
1483282800000000000,0.005,0.05,0.009,0.8,NORMAL,81.0,0.0,0.9,230.0,65.0,1016.8,5.0
1483286400000000000,0.005,0.051,0.009,0.8,NORMAL,78.0,0.0,1.2,230.0,67.0,1016.5,4.3
1483290000000000000,0.005,0.058,0.004,0.8,NORMAL,76.0,0.0,0.7,20.0,69.0,1016.2,3.2
1483293600000000000,0.005,0.052,0.004,0.8,NORMAL,81.0,0.0,2.4,50.0,70.0,1015.8,2.4
1483297200000000000,0.004,0.048,0.005,0.8,NORMAL,80.0,0.0,2.2,50.0,73.0,1015.5,1.2
1483300800000000000,0.004,0.047,0.005,0.7,NORMAL,79.0,0.0,1.9,70.0,73.0,1015.4,0.6
1483304400000000000,0.004,0.048,0.004,0.8,NORMAL,82.0,0.0,2.6,50.0,74.0,1014.6,0.8
1483308000000000000,0.004,0.051,0.003,0.8,NORMAL,79.0,0.0,1.4,20.0,75.0,1014.4,1.4
1483311600000000000,0.005,0.051,0.003,0.9,NORMAL,83.0,0.0,1.4,20.0,75.0,1014.1,1.5
1483315200000000000,0.004,0.051,0.003,0.9,NORMAL,82.0,0.0,1.5,20.0,75.0,1014.2,1.8
1483318800000000000,0.005,0.05,0.003,0.9,NORMAL,84.0,0.0,2.1,50.0,75.0,1013.5,1.8
1483322400000000000,0.004,0.046,0.003,0.8,NORMAL,82.0,0.0,2.2,20.0,77.0,1013.0,1.6
1483326000000000000,0.005,0.043,0.003,0.8,NORMAL,83.0,0.0,1.7,50.0,76.0,1013.3,1.7
1483329600000000000,0.004,0.042,0.004,0.7,NORMAL,80.0,0.0,1.5,20.0,77.0,1012.7,1.7
1483333200000000000,0.005,0.046,0.003,0.8,NORMAL,80.0,0.0,1.5,20.0,80.0,1012.2,2.3
1483336800000000000,0.005,0.048,0.003,0.8,NORMAL,77.0,0.3,1.1,20.0,89.0,1011.6,2.2
1483340400000000000,0.005,0.052,0.003,0.9,NORMAL,74.0,0.0,1.1,360.0,88.0,1011.6,2.6
1483344000000000000,0.006,0.058,0.003,0.9,NORMAL,68.0,0.0,1.4,20.0,87.0,1011.4,2.9
1483347600000000000,0.006,0.06,0.003,1.0,NORMAL,65.0,0.0,0.9,360.0,87.0,1011.5,3.6
1483351200000000000,0.006,0.06,0.004,0.9,BAD,62.0,0.0,2.4,230.0,86.0,1011.9,5.2
1483354800000000000,0.006,0.061,0.005,0.9,NORMAL,64.0,0.0,2.3,230.0,82.0,1012.0,9.0
1483358400000000000,0.006,0.053,0.013,0.7,NORMAL,64.0,0.0,2.1,230.0,70.0,1011.3,12.2
1483362000000000000,0.006,0.042,0.031,0.8,NORMAL,81.0,0.0,3.1,230.0,69.0,1010.8,13.3
1483365600000000000,0.0069999999999999,0.036,0.041,0.9,GOOD,100.0,0.0,3.1,200.0,59.0,1010.2,15.2
1483369200000000000,0.006,0.035,0.043,0.9,GOOD,105.0,0.0,3.6,250.0,64.0,1010.3,10.9
1483372800000000000,0.006,0.037,0.044,1.0,GOOD,123.0,0.0,3.2,250.0,65.0,1010.7,9.8
1483376400000000000,0.005,0.039,0.04,1.0,GOOD,130.0,0.0,2.3,250.0,69.0,1011.0,6.6
1483380000000000000,0.005,0.033,0.043,1.0,GOOD,131.0,0.0,2.1,270.0,73.0,1011.4,5.3
1483383600000000000,0.005,0.039,0.038,1.0,GOOD,132.0,0.0,2.0,250.0,78.0,1011.6,4.6
1483387200000000000,0.005,0.039,0.032,1.0,GOOD,134.0,0.0,3.2,250.0,81.0,1011.9,2.3
1483390800000000000,0.004,0.039,0.029,1.0,GOOD,130.0,0.0,3.1,270.0,84.0,1012.0,3.0
1483394400000000000,0.004,0.036,0.028,1.0,GOOD,130.0,0.0,3.0,290.0,78.0,1012.3,2.2
1483398000000000000,0.005,0.03,0.039,1.0,GOOD,130.0,0.0,2.8,320.0,76.0,1012.8,0.0
1483401600000000000,0.004,0.034,0.034,1.0,GOOD,136.0,0.0,1.5,360.0,79.0,1013.2,-0.5
1483405200000000000,0.004,0.03,0.034,1.0,GOOD,138.0,0.0,2.6,270.0,82.0,1013.3,-0.7
1483408800000000000,0.004,0.026,0.034,0.9,GOOD,127.0,0.0,1.4,270.0,83.0,1013.4,-1.6
1483412400000000000,0.004,0.024,0.033,0.8,GOOD,96.0,0.0,0.8,360.0,79.0,1013.7,-2.2
1483416000000000000,0.004,0.03,0.025,0.9,GOOD,83.0,0.0,2.2,270.0,72.0,1014.1,-2.4
1483419600000000000,0.004,0.045,0.012,0.9,NORMAL,84.0,0.0,1.9,290.0,73.0,1014.1,-2.9
1483423200000000000,0.004,0.052,0.004,1.1,NORMAL,87.0,0.0,1.4,270.0,73.0,1013.9,-3.4
1483426800000000000,0.005,0.058,0.003,1.2,GOOD,95.0,0.0,1.4,250.0,72.0,1014.2,-4.1
1483430400000000000,0.006,0.064,0.004,1.4,GOOD,108.0,0.0,1.2,270.0,67.0,1014.6,-3.1
1483434000000000000,0.006,0.062,0.005,1.3,GOOD,104.0,0.0,0.1,0.0,60.0,1015.0,-0.7
1483437600000000000,0.0069999999999999,0.063,0.006,1.3,GOOD,99.0,0.0,0.8,250.0,55.0,1015.0,2.1
1483441200000000000,0.0069999999999999,0.058,0.008,1.1,GOOD,94.0,0.0,1.2,200.0,53.0,1014.7,6.2
1483444800000000000,0.0069999999999999,0.052,0.013,0.9,NORMAL,65.0,0.0,2.4,200.0,44.0,1014.0,9.0
1483448400000000000,0.006,0.042,0.022,0.7,BAD,53.0,0.0,3.0,200.0,39.0,1013.2,12.5
1483452000000000000,0.006,0.051,0.021,0.7,NORMAL,63.0,0.0,3.2,250.0,43.0,1012.7,11.8
1483455600000000000,0.005,0.036,0.028,0.6,BAD,57.0,0.0,3.7,250.0,47.0,1012.6,9.7
1483459200000000000,0.005,0.037,0.024,0.5,VERY BAD,36.0,0.0,3.3,230.0,48.0,1012.4,7.1
1483462800000000000,0.004,0.041,0.02,0.5,VERY BAD,23.0,0.0,2.8,270.0,56.0,1012.4,2.9
1483466400000000000,0.004,0.043,0.018,0.5,VERY BAD,20.0,0.0,2.6,270.0,60.0,1012.1,0.4
1483470000000000000,0.004,0.05,0.015,0.6,VERY BAD,13.0,0.0,1.9,270.0,61.0,1012.4,0.0
1483473600000000000,0.004,0.058,0.006,0.6,VERY BAD,19.0,0.0,2.1,270.0,61.0,1012.7,-0.4
1483477200000000000,0.004,0.059,0.006,0.6,VERY BAD,15.0,0.0,1.8,270.0,60.0,1012.8,-0.7
1483480800000000000,0.004,0.063,0.003,0.7,VERY BAD,20.0,0.0,1.6,270.0,63.0,1012.8,-0.9
1483484400000000000,0.005,0.067,0.003,0.9,VERY BAD,22.0,0.0,0.9,290.0,68.0,1012.8,-1.3
1483488000000000000,0.006,0.066,0.004,1.1,VERY BAD,29.0,0.0,0.4,0.0,71.0,1013.0,-0.8
1483491600000000000,0.006,0.062,0.003,1.1,VERY BAD,30.0,0.0,0.2,0.0,72.0,1012.6,-0.1
1483495200000000000,0.006,0.059,0.003,1.0,VERY BAD,32.0,0.0,0.7,360.0,70.0,1012.6,-0.4
1483498800000000000,0.005,0.055,0.003,0.9,VERY BAD,26.0,0.0,0.5,20.0,70.0,1012.7,-0.1
1483502400000000000,0.005,0.05,0.003,0.9,VERY BAD,29.0,0.0,0.7,20.0,70.0,1012.5,0.0
1483506000000000000,0.005,0.051,0.003,0.9,VERY BAD,34.0,0.0,1.0,20.0,72.0,1012.6,0.1
1483509600000000000,0.006,0.054,0.003,1.0,VERY BAD,33.0,0.0,1.1,360.0,74.0,1012.3,0.1
1483513200000000000,0.0069999999999999,0.059,0.003,1.1,VERY BAD,36.0,0.0,1.2,20.0,74.0,1012.8,-0.1
